"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"16-Jun-2011","12:48","SIGMA-T","306741",140,0.0494470348432056,0.191805048156794,NA,NA,NA,NA,NA,71.4759043345561,4.9505,221,33.611,12.9025,12.692,1.255,0.1275,0.1235
"05-Jul-2011","02:35","NEEDLER","353108",2,0.357077014925373,0.175016907462686,27.7370131902985,25.5677074826493,22.5196099253731,15.8581921626866,186,103.892197784089,6.176,276,30.8614406585693,0.4325,0.3745,0.226,0.822,0.09
"05-Jul-2011","02:35","NEEDLER","353107",5,0.362036417910448,0.213735008955224,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.3645,0.223,0.987,0.0905
"05-Jul-2011","02:35","NEEDLER","353106",10,0.46122447761194,0.21419703880597,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439,0.51,0.267,0.824,0.0935
"05-Jul-2011","02:35","NEEDLER","353105",20,0.683227611940298,0.523466805970149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4425,0.983,0.4395,0.718,0.1
"05-Jul-2011","02:35","NEEDLER","353104",30,1.10682873134328,0.555292365671642,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,1.4135,0.5945,0.9835,0.1585
"05-Jul-2011","02:35","NEEDLER","353103",40,1.05217052238806,0.53797926119403,NA,NA,NA,NA,NA,86.682929993356,6.5415,292,31.7968826293945,2.058,2.4135,0.7475,1.3955,0.2895
"05-Jul-2011","02:35","NEEDLER","353102",50,0.163660298507463,0.398546949253731,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.348,4.6655,0.946,1.43,0.2575
"05-Jul-2011","02:35","NEEDLER","353101",75,0.0595128358208956,0.278881217910448,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.998,8.481,1.306,0.5355,0.15
"05-Jul-2011","02:35","NEEDLER","353100",100,0.0495940298507463,0.424328214925373,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9615,8.91,1.326,0.657,0.1405
